"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","179","Редактирование пользовательских данных. Негативный","api.tests.users","Wed Jul 09 11:39:43 MSK 2025","passed","Wed Jul 09 11:39:43 MSK 2025","TestRefactorUser","test_refactor_user","",""
"","244","Авторизация пользователя. Положительный","api.tests.users","Wed Jul 09 11:39:38 MSK 2025","passed","Wed Jul 09 11:39:38 MSK 2025","TestLoginUser","test_login_user","",""
"","238","Авторизация пользователя. Негативный","api.tests.users","Wed Jul 09 11:39:39 MSK 2025","passed","Wed Jul 09 11:39:39 MSK 2025","TestLoginUser","test_login_user","",""
"","255","Редактирование пользовательских данных. Положительный","api.tests.users","Wed Jul 09 11:39:41 MSK 2025","passed","Wed Jul 09 11:39:41 MSK 2025","TestRefactorUser","test_refactor_user","",""
"","158","Создание заказа с авторизацией, с неверным хэшем ингредиентов. Негативный","api.tests.orders","Wed Jul 09 11:39:36 MSK 2025","passed","Wed Jul 09 11:39:36 MSK 2025","TestCreateOrders","test_create_orders","",""
"","161","Авторизация пользователя. Негативный","api.tests.users","Wed Jul 09 11:39:39 MSK 2025","passed","Wed Jul 09 11:39:39 MSK 2025","TestLoginUser","test_login_user","",""
"","152","Редактирование пользовательских данных. Положительный","api.tests.users","Wed Jul 09 11:39:40 MSK 2025","passed","Wed Jul 09 11:39:40 MSK 2025","TestRefactorUser","test_refactor_user","",""
"","147","Запрос на список заказов пользователя. Негативный","api.tests.orders","Wed Jul 09 11:39:38 MSK 2025","passed","Wed Jul 09 11:39:38 MSK 2025","TestOrderUsers","test_order_list_users","",""
"","186","Редактирование пользовательских данных. Положительный","api.tests.users","Wed Jul 09 11:39:42 MSK 2025","passed","Wed Jul 09 11:39:42 MSK 2025","TestRefactorUser","test_refactor_user","",""
"","153","Создание заказа с авторизацией, без ингредиентов. Негативный","api.tests.orders","Wed Jul 09 11:39:34 MSK 2025","passed","Wed Jul 09 11:39:35 MSK 2025","TestCreateOrders","test_create_orders","",""
"","502","Запрос на список заказов пользователя. Положительный","api.tests.orders","Wed Jul 09 11:39:37 MSK 2025","passed","Wed Jul 09 11:39:37 MSK 2025","TestOrderUsers","test_order_list_users","",""
"","2694","Создание заказа с авторизацией, с ингредиентами. Положительный","api.tests.orders","Wed Jul 09 11:39:31 MSK 2025","passed","Wed Jul 09 11:39:33 MSK 2025","TestCreateOrders","test_create_orders","",""
"","158","Создание заказа без авторизации, без ингредиентов. Негативный","api.tests.orders","Wed Jul 09 11:39:35 MSK 2025","passed","Wed Jul 09 11:39:35 MSK 2025","TestCreateOrders","test_create_orders","",""
"","149","Редактирование пользовательских данных. Негативный","api.tests.users","Wed Jul 09 11:39:42 MSK 2025","passed","Wed Jul 09 11:39:43 MSK 2025","TestRefactorUser","test_refactor_user","",""
"","155","Регистрация пользователя с пропущенным обязательным полем. Негативный","api.tests.users","Wed Jul 09 11:39:44 MSK 2025","passed","Wed Jul 09 11:39:44 MSK 2025","TestRegisterUsers","test_register_users","",""
"","161","Создание заказа без авторизации, с ингредиентами. Положительный","api.tests.orders","Wed Jul 09 11:39:34 MSK 2025","passed","Wed Jul 09 11:39:34 MSK 2025","TestCreateOrders","test_create_orders","",""
"","163","Регистрация пользователя с дублирующими данными. Негативный ","api.tests.users","Wed Jul 09 11:39:44 MSK 2025","passed","Wed Jul 09 11:39:44 MSK 2025","TestRegisterUsers","test_register_users","",""
"","154","Регистрация пользователя с пропущенным обязательным полем. Негативный","api.tests.users","Wed Jul 09 11:39:44 MSK 2025","passed","Wed Jul 09 11:39:44 MSK 2025","TestRegisterUsers","test_register_users","",""
"","241","Регистрация нового пользователя. Положительный","api.tests.users","Wed Jul 09 11:39:43 MSK 2025","passed","Wed Jul 09 11:39:43 MSK 2025","TestRegisterUsers","test_register_users","",""
"","154","Регистрация пользователя с пропущенным обязательным полем. Негативный","api.tests.users","Wed Jul 09 11:39:44 MSK 2025","passed","Wed Jul 09 11:39:44 MSK 2025","TestRegisterUsers","test_register_users","",""
"","161","Редактирование пользовательских данных. Негативный","api.tests.users","Wed Jul 09 11:39:43 MSK 2025","passed","Wed Jul 09 11:39:43 MSK 2025","TestRefactorUser","test_refactor_user","",""
